PubID,Citation,Document Type,Data Recorded from Supplementary Information,Supplementary Information,Comments
1,"Ahmed, S. 2016. ""Climate change impact assessment at watershed scale."" PhD diss., McMaster University.",Thesis,NO,,
2,"Ben Aissia, M.-A., F. Chebana, T. B. M. J. Ouarda, L. Roy, G. Desrochers, I. Chartier, and É. Robichaud. 2012. ""Multivariate analysis of flood characteristics in a climate change context of the watershed of the Baskatong reservoir, Province of Québec, Canada."" Hydrological Processes 26: 130-142. doi: 10.1002/hyp.8117",Journal article,NO,,
3,"Allen, D. M., A. J. Cannon, M. W. Toews, and J. Scibek. 2010. ""Variability in simulated recharge using different GCMs."" Water Resources Research 46: W00F03. doi: 10.1029/2009WR008932",Journal article,NO,,
4,"Allen, D. M., J. Scibek, M. Wei, and P. Whitfield. 2004. Climate change and groundwater: A modelling approach for identifying impacts and resource sustainability in the Central Interior of British Columbia. Burnaby: Earth Sciences, Simon Fraser University. Prepared for: Climate Change Action Fund, Natural Resources Canada.",Report,NO,,
5,"Alodah, A., and Seidou, O. 2019. ""Assessment of climate change impacts on extreme high and low flows: An improved bottom-up approach."" Water 11: 1236. doi: 10.3390/w11061236",Journal article,NO,,
6,"Anderson, T. S. 2012. ""Hydrological impacts of climate change on the Castle River Watershed, Alberta, Canada."" MSc Thesis, University of Lethbridge.",Thesis,NO,,
7,"Appiah-Adjei, E. K. 2006. ""Climate change impacts on groundwater recharge in Gulf Islands, Canada."" MSc. Thesis, Lund University.",Thesis,NO,,
8,"Asnaashari, A., B. Gharabaghi, E. McBean, and A. A. Mahboubi. 2015. ""Reservoir management under predictable climate variability and change."" Journal of Water and Climate Change 6 (3): 472-485. doi: 10.2166/wcc.2015.053",Journal article,NO,,
10,"Vigneault, H., J.-M. Ballard, and R. Lefebvre. 2007. ""Evolution of groundwater nitrate concentrations under various climate change scenarios for Prince Edward Island, Canada."" In Diamond Jubille Canadian Geotechnical Conference, 219-226. Ottawa. ",Conference proceeding,NO,,
12,"Bohrn, S. K. 2012. ""Climate change impact assessment and uncertainty analysis of the hydrology of a northern, data-sparse catchment using multiple hydrological models."" MSc. Thesis, University of Manitoba.",Thesis,NO,,
13,"Booth, E. L. J. 2009. ""Modeling the effects of climate change on glaciers in the Upper North Saskatchewan River Basin."" MSc. Thesis, University of Lethbridge.",Thesis,NO ,,
14,"Booty, W., D. Lam, G. Bowen, O. Resler, and L. Leon. 2005. ""Modelling changes in stream water quality due to climate change in a southern Ontario watershed."" Canadian Water Resources Journal 30 (3): 211-226. doi: 10.4296/cwrj3003211",Journal article,NO,,
15,"Boyer, C., D. Chaumont, I. Chartier, and A. G. Roy. 2010. ""Impact of climate change on the hydrology of St. Lawrence tributaries."" Journal of Hydrology 384: 65-83. doi: 10.1016/j.jhydrol.2010.01.011",Journal article,NO,,
18,"Chen, J. 2015. ""Impact of climate change on Canadian water resources: A continental-scale hydrologic modelling study using multiple RCM projections."" PhD diss., University of Waterloo.",Thesis,NO,,
19,"Chen, J., F. P. Brissette, D. Chaumont, and M. Braun. 2013. ""Performance and uncertainty evaluation of empirical downscaling methods in quantifying the climate change impacts on hydrology over two North American river basins."" Journal of Hydrology 479: 200-214. doi: 10.1016/j.jhydrol.2012.11.062",Journal article,NO,,
20,"Chen, J., F. P. Brissette, and R. Leconte. 2012. ""Downscaling of weather generator parameters to quantify hydrological impacts of climate change."" Climate Research 51: 185-200. doi: 10.3354/cr01062",Journal article,NO,,
21,"Chen, J., F. P. Brissette, and R. Leconte. 2011. ""Uncertainty of downscaling method in quantifying the impact of climate change on hydrology."" Journal of Hydrology 401: 190-202. doi: 10.1016/j.jhydrol.2011.02.020",Journal article,NO,,
23,"Chen, J., F. P. Brissette, A. Poulin, and R. Leconte. 2011. ""Overall uncertainty study of the hydrological impacts of climate change for a Canadian watershed."" Water Resources Research 47: W12509. doi: 10.1029/2011WR010602",Journal article,NO,,
24,"Choi, W., S. J. Kim, M. Lee, K. Koenig, and P. Rasmussen. 2014. ""Hydrological impacts of warmer and wetter climate in Troutlake and Sturgeon River Basins in Central Canada."" Water Resources Management 28: 5319-5333. doi: 10.1007/s11269-014-0803-z",Journal article,NO,,
25,"Choi, W., A. Moore, K. Koenig, and P. Rasmussen. 2008. Response of hydrological systems to statistically downscaled GCM output in the northern Manitoba boreal forest region. Proceedings for the 13th World Water Congress, 13 p. ",Conference proceeding,NO,,
26,"Choi, W., P. F. Rasmussen, A. R. Moore, and S. J. Kim. 2009. ""Simulating streamflow response to climate scenarios in central Canada using a simple statistical downscaling method."" Climate Research 40: 89-102. doi: 10.3354/cr00826",Journal article,NO,,
27,"Cochand, F., R. Therrien, and J.-M. Lemieux. 2019. ""Integrated hydrological modeling of climate change impacts in a snow-influenced catchment."" Groundwater 57 (1): 3-20. doi: 10.1111/gwat.12848",Journal article,NO,,
28,"Cohen, S. J. 1991. ""Possible impacts of climatic warming scenarios on water resources in the Saskatchewan River sub-basin, Canada."" Climatic Change 19: 291-317.",Journal article,NO,,
29,"Coulibaly, P. 2008. ""Multi-model approach to hydrologic impact of climate change."" In Proceedings of the International Conference on Hydrological Changes and Management from Headwaters to the Ocean - Hydrochange 2008, (eds.) M. Taniguchi, W. Burnett, Y. Fukushima, M. Haigh, and Y. Umezawa, 249-255. Kyoto: CRC Press.",Book chapter,NO,,
30,"Coulson, H. 1997. ""The impacts of climate change on river and stream flow in British Columbia and southern Yukon."" Chap. 5 in Responding to global climate change in British Columbia and Yukon, (eds.) E. Taylor and B. Taylor. British Columbia Ministry of Environment, Lands and Parks.",Report,NO,,
31,"Croley II, T. E. 2003. Great Lakes climate change hydrologic impact assessment I.J.C. Lake Ontario-St. Lawrence river regulation study. Ann Arbor: NOAA, Great Lakes Environmental Research Laboratory.",Report,NO,,
32,"Croley II, T. E. 1990. ""Laurentian Great Lakes double-CO2 climate change hydrological impacts."" Climatic Change 17: 27-47. ",Journal article,NO,,
33,"Crossman, J., M. N. Futter, S. K. Oni, P. G. Whitehead, L. Jin, D. Butterfield, H. M. Baulch, and P. J. Dillon. 2013. ""Impacts of cliamte change on hydrology and water quality: Future proofing management strategies in the Lake Simcoe watershed, Canada."" Journal of Great Lakes Research 39: 19-32. doi: 10.1016/j.jglr.2012.11.003",Journal article,NO,,
34,"Dardashti, S. D. 2010. ""Modeling hydrology and nitrogen fate and transport in a tile-drained agricultural watershed in a cold region."" PhD. diss., McGill University.",Thesis,NO,,
35,"Das, S., and S. P. Simonovic. 2013. ""Assessment of uncertainty in flood flows under climate change impacts in the Upper Thames River Basin, Canada."" British Journal of Environment and Climate Change 2 (4): 318-338. doi: 10.9734/BJECC/2012/2813",Journal article,NO,,
38,"Dibike, Y., A. Shakibaeinia, H.-Il Eum., T. Prowse, and I. Droppo. 2018. ""Effects of projected climate on the hydrodynamic and sediment transport regime of the lower Athabasca River in Alberta, Canada."" River Research and Applications 34 (5): 417-429. doi: 10.1002/rra.3273",Journal article,NO,,
39,"Dibike, Y. B., and P. Coulibaly. 2005. ""Hydrologic impact of climate change in the Saguenay watershed: comparison of downscaling methods and hydrologic models."" Journal of Hydrology 307: 145-163. doi: 10.1016/j.jhydrol.2004.10.012",Journal article,NO,,
40,"Du, X., N. K. Shrestha, and J. Wang. 2019. ""Assessing climate change impacts on stream temperature in the Athabasca River Basin using SWAT equilibrium temperature model and its potential impacts on stream ecosystem."" Science of the Total Environment 650: 1872-1881. doi: 10.1016/j.scitotenv.2018.09.344",Journal article,NO,,
41,EBNFLO Environmental and AquaResource Inc. 2010. Guide for assessment of hydrologic effects of climate change in Ontario. Prepared for: Ontario Ministry of Natural Resources and Ministry of the Environment in partnership with Credit Valley Conservation.,Report,NO,,
42,"El-Khoury, A., O. Seidou, D. R. Lapen, Z. Que, M. Mohammadian, M. Sunohara, and D. Bahram. 2015. ""Combined impacts of future climate and land use changes on discharge, nitrogen and phosphorus loads for a Canadian river basin."" Journal of Environmental Management 151: 76-86. doi: 10.1016/j.jenvman.2014.12.012",Journal article,NO,,
43,"Eum, H.-Il, Y. Dibike, and T. Prowse. 2017. ""Climate-induced alteration of hydrologic indicators in the Athabasca River Basin, Alberta, Canada."" Journal of Hydrology 544: 327-342. doi: 10.1016/j.jhydrol.2016.11.034",Journal article,NO,,
44,"Eum, H.-Il, Y. Dibike, and T. Prowse. 2016. ""Comparative evaluation of the effects of climate and land-cover changes on hydrologic responses of the Muskeg River, Alberta, Canada."" Journal of Hydrology: Regional Studies 8: 198-221. doi: 10.1016/j.ejrh.2016.10.003",Journal article,NO,,
45,"Fang, X., and J. W. Pomeroy. 2020. ""Diagnosis of future changes in hydrology for a Canadian Rockies headwater basin."" Hydrology and Earth System Sciences 24: 2731-2754. doi: 10.5194/hess-24-2731-2020",Journal article,NO,,
47,"Farjad, B., A. Gupta, and D. J. Marceau. 2016. ""Annual and seasonal variations of hydrological processes under climate change scenarios in two sub-catchments of a complex watershed."" Water Resources Management 30: 2851-2865. doi: 10.1007/s11269-016-1329-3",Journal article,NO,,
48,"Farjad, B., A. Gupta, and D. J. Marceau. 2015. ""Hydrological regime responses to climate change for the 2020s and 2050s periods in the Elbow River Watershed in Southern Alberta, Canada."" Environmental Management of River Basin Ecosystems 65-89. doi: 10.1007/978-3-319-13425-3_4",Journal article,NO,,
49,"Farjad, B., A. Gupta, S. Razavi, M. Faramarzi, and D. J. Marceau. 2017. ""An integrated modelling system to predict hydrological processes under climate and land-use/cover change scenarios."" Water 9: 767. doi: 10.3390/w9100767",Journal article,NO,,
51,"Forbes, K., K., Kienzle, R. Coburn, H. Byrne, a D. J. Rasmussen. 2011. ""Simulating the hydrological response to predicted climate change on a watershed in southern Alberta, Canada."" Climatic Change 105: 555-576. doi: 10.1007/s10584-010-9890-x",Journal article,NO,,
53,"France, R. L., and P. W. Aitchison. 2019. ""Climate change predictions of increased watershed flow in Atlantic Canada: Implications for surface water vulnerability and ameliorative land use planning and management."" Journal of Geoscience and Environment Protection 7: 162. doi: 10.4236/gep.2019.79012",Journal article,NO,,
55,Golder Associates Ltd. 2008. Assessment of climate change effects on water yield from the North Saskatchewan River Basin. Prepared for: North Saskatchewan Watershed Alliance. ,Report,NO,,
56,"Golmohammadi, G., R. Rudra, S. Prasher, A. Madani, K. Mohammadi, P. Goel, and P. Daggupatti. 2017. ""Water budget in a tile drained watershed under future climate change using SWATDRAIN model."" Climate 5: 39. doi: 10.3390/cli5020039",Journal article,NO,,
57,"Gombault, C. 2012. ""Modelling water quality of the Pike River Watershed under four climate change scenarios."" MSc. Thesis, McGill University.",Thesis,NO,,
58,"Gombault, C., M.-F. Sottile, F. F. Ngwa, C. A. Madramootoo, A. R. Michaud, I. Beaudin, and M. Chikhaoui. 2015. ""Modelling climate change impacts on the hydrology of an agricultural watershed in southern Québec."" Canadian Water Resources Journal/Revue canadienne des ressources hydriques 40 (1): 71-86. doi: 10.1080/07011784.2014.985509",Journal article,NO,,
60,"Grillakis, M. G., A. G. Koutroulis, and I. K. Tsanis. 2011. ""Climate change impact on the hydrology of Spencer Creek watershed in Southern Ontario, Canada."" Journal of Hydrology 409: 1-19. doi: 10.1016/j.jhydrol.2011.06.018",Journal article,NO,,
61,"Guay, C., M. Minville, and M. Braun. 2015. ""A global portrait of hydrological changes at the 2050 horizon for the province of Québec."" Canadian Water Resources Journal / Revue canadienne des ressources hydriques 40 (3): 285-302. doi: 10.1080/07011784.2015.1043583",Journal article,NO,,"Results reported as IMS of both methods and location, recorded in hvar-ims file"
63,"Hamlet, A. F., and D. P. Lettenmaier. 1999. ""Effects of climate change on hydrology and water resources in the Columbia River Basin."" Journal of the American Water Resources Association 35 (6): 1597-1623. ",Journal article,NO,,
66,"Hu, R. 2009. ""Water quality evaluation under climate change impacts for Canagagigue Creek Watershed in southern Ontario."" MSc. Thesis, University of Guelph.",Thesis,NO,,
67,"Islam, S. U., S. J. Déry, and A. T. Werner. 2017. ""Future climate change impacts on snow and water resources of the Fraser River Basin, British Columbia."" Journal of Hydrometeorology 18 (2): 473-496. doi: 10.1175/JHM-D-16-0012.1",Journal article,NO,,
69,"Islam, Z., and T. Y. Gan. 2014. ""Effects of climate change on the surface-water management of the South Saskatchewan River Basin."" Journal of Water Resources Planning and Management 140 (3): 332-342. doi: 10.1061/(ASCE)WR.1943-5452.0000326",Journal article,NO,,
70,"Islam, Z., and T. Y. Gan. 2015. ""Potential combined hydrologic impacts of climate change and El Niño Southern Oscillation to South Saskatchewan River Basin."" Journal of Hydrology 523: 34-48. doi: 10.1016/j.jhydrol.2015.01.043",Journal article,NO,,
71,"Islam, Z., and T. Y. Gan. 2016. ""Water allocation challenges of South Saskatchewan River Basin under the combined impacts of climate change and El Niño Southern Oscillation."" Journal of Water Resources Planning and Management 142 (10). doi: 10.1061/(ASCE)WR.1943-5452.0000683",Journal article,NO,,
73,"Kerkhoven, E., and T. Y. Gan. 2008. ""Development of a hydrologic scheme for use in land surface models and its application to climate change in the Athabasca River Basin."" Chap. 22 in Cold Region Atmospheric and Hydrologic Studies The Mackenzie GEWEX Experience, (ed.) M.-k. Woo., 411-433. Berlin: Springer.",Book chapter,NO,,
74,"Kerkhoven, E., and T. Y. Gan. 2011. ""Differences and sensitivities in potential hydrologic impact of climate change to regional-scale Athabasca and Fraser River basins of the leeward and windward sides of the Canadian Rocky Mountains respectively."" Climatic Change 106: 583-607. doi: 10.1007/s10584-010-9958-7",Journal article,NO,,
76,"Kerkhoven, E., and T. Y. Gan. 2005. ""Modelling hydrological responses of the Athabasca River basin to climate change by the Modified ISBA Land Surface Scheme."" In Symposium S6 held during the Seventh IAHS Scientific Assembly, 89-101. Foz do Iguaçu, Brazil: IAHS Publ.",Conference proceeding,NO,,
80,"Kienzle, S. W., M. Nemeth, K. Forbes, and J. M. Byrne. 2010. ""Diverse impacts of cliamte change on streamflow in Alberta, Canada."" In The Global Dimensions of Change in River Basins, 40-48. Bonn, Germany.",Conference proceeding,NO,,
81,"Kim, S. J., M. Lee, W. Choi, and P. F. Rasmussen. 2008. ""Utilizing North American Regional Reanalysis for climate change impact assessment on water resources in central Canada."" In Proceedings for the 13th World Water Congress. Montpellier, France.",Conference proceeding,NO,,
82,"Krogh, S. A., and J. W. Pomeroy. 2019. ""Impact of future climate and vegetation on the hydrology of an Arctic headwater basin at the tundra-taiga transition."" Journal of Hydrometeorology 20: 197-215. doi: 10.1175/JHM-D-18-0187.1",Journal article,NO,,
83,"Kurylyk, B. L., and K. T. B. MacQuarrie. 2013. ""The uncertainty associated with estimating future groundwater recharge: A summary of recent research and an example from a small unconfined aquifer in a northern humid-continental climate."" Journal of Hydrology 492: 244-253. doi: 10.1016/j.jhydrol.2013.03.043",Journal article,NO,,
85,"Lapp, S., D. Sauchyn, and B. Toth. 2009. ""Constructing scenarios of future climate and water supply for the SSRB: Use and limitations for vulnerability assessment."" Prairie Forum 34 (1).",Journal article,NO,,
86,"Larson, R. P., J. M. Byrne, D. L. Johnson, S. W. Kienzle, and M. G. Letts. 2011. ""Modelling climate change impacts on spring runoff for the Rocky Mountains of Montana and Alberta II: Runoff change projections using future scenarios."" Canadian Water Resources Journal 36 (1): 35-52. doi: 10.4296/cwrj3601035",Journal article,NO,,
88,"Leong, D. N. S., and S. D. Donner. 2015. ""Climate change impacts on streamflow availability for the Athabasca Oil Sands."" Climatic Change 133: 651-663. doi: 10.1007/s10584-015-1479-y",Journal article,"YES. Gauge number, hydrologic and climate variables.",,Reference period annual streamflow back-calculated from reported absolute and relative changes.
89,"Levison, J., M. Larocque, and M. A. Ouellet. 2014. ""Modeling low-flow bedrock springs providing ecological habitats with climate change scenarios."" Journal of Hydrology 515: 16-28. doi: 10.1016/j.jhydrol.2014.04.042",Journal article,NO,,
94,"Loukas, A., and M. C. Quick. 1999. ""The effect of climate change on floods in British Columbia."" Nordic Hydrology 30: 231-256. ",Journal article,NO,,
95,"Loukas, A., L. Vasiliades, and N. R. Dalezios. 2004. ""Climate change implications on flood response of a mountainous watershed."" Water, Air, and Soil Pollution: Focus 4: 331-347.",Journal article,NO,,
96,"Loukas, A., L. Vasiliades, N. R. Dalezios. 2002. ""Climatic impacts on the runoff generation processes in British Columbia, Canada."" Hydrology and Earth System Sciences Discussions 6 (2): 211-227.",Journal article,NO,,
97,"Loukas, A., L. Vasiliades, N. R. Dalezios. 2002. ""Potential climate change impacts on flood producing mechanisms in southern British Columbia, Canada using the CGCMA1 simulation results."" Journal of Hydrology 259: 163-188. doi: 10.1016/S0022-1694(01)00580-7",Journal article,NO,,
98,"Luo, B. 2006. ""Integrated simulation and optimization approaches for examining climate change impacts on water resources."" PhD. diss., University of Regina.",Thesis,NO,,
100,"Mahat, V., and A. Anderson. 2013. ""Impacts of climate and catastrophic forest changes on streamflow and water balance in a mountainous headwater stream in Southern Alberta."" Hydrology and Earth System Sciences 17 (12): 4941-4956. doi: 10.5194/hess-17-4941-2013",Journal article,NO,,
101,"Mandal, S., and S. P. Simonovic. 2017. ""Quantification of uncertainty in the assessment of future streamflow under changing climate conditions."" Hydrological Processes 31 (11): 2076-2094. doi: 10.1002/hyp.11174",Journal article,NO,,
102,"Manitoba Hydro. 2015. ""Manitoba Hydro Climate Change Report 2014-2015."" 47 p.",Report,NO,,
104,"Mehdi, B., B. Lehner, C. Gombault, A. Michaud, I. Beaudin, M.-F. Sottile, and A. Blondlot. 2015. ""Simulated impacts of climate change and agricultural land use change on surface water quality with and without adaptation management strategies."" Agriculture, Ecosystems and Environment 213: 47-60. doi: 10.1016/j.agee.2015.07.019",Journal article,YES. Climate model names and hydrologic results.,,
105,"Mehdi, B. B. 2014. ""Scenarios and implications of land use and climate change on water quality in mesoscale agricultural watersheds."" PhD. diss., McGill University.",Thesis,NO,,
106,"Merritt, W. S., Y. Alila, M. Barton, B. Taylor, S. Cohen, and D. Neilsen. 2006. ""Hydrologic response to scenarios of climate change in sub watersheds of the Okanagan basin, British Columbia."" Journal of Hydrology 326: 79-108. doi: 10.1016/j.jhydrol.2005.10.025",Journal article,NO,,
107,"Minville, M., F. Brissette, and R. Leconte. 2008. ""Uncertainty of the impact of climate change on the hydrology of a nordic watershed."" Journal of Hydrology 358: 70-83. doi: 10.1016/j.jhydrol.2008.05.033",Journal article,NO,,
108,"Mirmasoudi, S., J. Byrne, R. MacDonald, D. Johnson, and R. Kroebel. 2019. ""Modelling historical and potential future climate impacts on Keremeos Creek, an Okanagan-Similkameen watershed, British Columbia, Canada: Part I. Forecasting changes in spring and summer water supply and demand."" Canadian Water Resources Journal / Revue canadieen des ressources hydriques 44 (4): 350-366. doi: 10.1080/07011784.2019.1640137",Journal article,NO,,
109,"Morales-Marín, L. A., P. Rokaya, P. R. Sanyal, J. Sereda, and K. E. Lindenschmidt. 2019. ""Changes in streamflow and water temperature affect fish habitat in the Athabasca River basin in the context of climate change."" Ecological Modelling 407. doi: 10.1016/j.ecolmodel.2019.108718",Journal article,NO,,
110,"Morrison, J., M. C. Quick, and M. G. G. Foreman. 2002. ""Climate change in the Fraser River watershed: flow and temperature projections."" Journal of Hydrology 263: 230-244.",Journal article,NO,,
111,"Motiee, H., and E. McBean. 2017. ""Assessment of climate change impacts on groundwater recharge for different soil types-Guelph region in Grand River Basin, Canada."" Ecopersia 5 (2): 1731-1744. doi: 10.18869/modares.Ecopersia.5.2.1731",Journal article,NO,,
