Ocean Drainage Areas,Location ID,ECCC Gauge Number,Comments,ECCC Gauge Name,Study Area as Reported,Latitude as Reported,Longitude as Reported,Lat,Lon,Sub-watershed,Watershed,Size,Size_un,Province,,
Nelson River,5101,05AB103,,,Beaver Creek ,49°44'N,113°52'W,49.63938,-113.7953,Oldman River,South Saskatchewan River,254,km2,AB,,
Nelson River,4801,05BJ010,,Glenmore Reservoir,East sub-catchment,,,50.9935,-114.1699,Elbow river watershed,Bow River,443.7,km2,AB,,
Nelson River,4802,05BJ004,,,West sub-catchment,,,50.94893,-114.571,Elbow river watershed,Bow River,791.3,km2,AB,,
Nelson River,4803,05BJ010,,Glenmore Reservoir,Entire watershed,,,50.9935,-114.1699,Elbow river watershed,Bow River,1235,km2,AB,,
Nelson River,4701,05BJ010,,Glenmore Reservoir,East sub-catchment,,,50.9935,-114.1699,Elbow river watershed,Bow River,443.7,km2,AB,,
Nelson River,4702,05BJ004,,,West sub-catchment,,,50.94893,-114.571,Elbow river watershed,Bow River,791.3,km2,AB,,
Nelson River,4703,05BJ010,,Glenmore Reservoir,Entire watershed,,,50.9935,-114.1699,Elbow river watershed,Bow River,1235,km2,AB,,
Arctic,12701,10ND002,,Trail Valley Creek Near Inuvik,Trail Valley Creek,68°45'N,133°30'W,68.75,-113.5,,,63,km2,NWT,,
St. Lawrence,13201,02GH003 ,,CANARD RIVER NEAR LUKERVILLE,Canard River watershed,,,42.15897,-83.01889,Northern Lake Erie,,348,km2,ON,,
Great Slave Lake,4301,07AD002,,,Hinton,,,53.42429,-117.5694,Upper Reach,Athabasca River Basin,9765,km2,AB,,
Great Slave Lake,4302,07AE001,,,Windfall,,,54.20753,-116.0632,Upper Reach,Athabasca River Basin,19600,km2,AB,,
Great Slave Lake,4303,07BC002,,,Pembina,,,54.45029,-113.9933,Middle Reach,Athabasca River Basin,13104,km2,AB,,
Great Slave Lake,4304,07BE001,,,Athabasca,,,54.72203,-113.288,Middle Reach,Athabasca River Basin,74602,km2,AB,,
Great Slave Lake,4305,07CD001,,,Clearwater,,,56.68526,-111.2553,Lower Reach,Athabasca River Basin,30792,km2,AB,,
Great Slave Lake,4306,07DA001,,,Ft. McMurray,,,56.78035,-111.4022,Lower Reach,Athabasca River Basin,132585,km2,AB,,
Great Slave Lake,4307,07DC001,,,Firebag,,,57.65113,-111.2025,Lower Reach,Athabasca River Basin,5988,km2,AB,,
St. Lawrence,11901,02PJ034 ,,BRAS D'HENRI (RIVIERE) A 2.3 KM DE LA BEAURIVAGE,second order catchment (sub-wat),,,46.54028,-71.33889,Bras d'Henri sub-watershed,Chaudiere River basin,2.36,km2,QB,,
St. Lawrence,12001,02EC011,BEAVER RIVER NEAR BEAVERTON,Woodville,Beaver River,44° 25' N,79° 20' W,44.416667,-79.3333333,Lake Simcoe,,282,km2,ON,,
St. Lawrence,12002,02EC018,PEFFERLAW BROOK NEAR UDORA,Udora,Pefferlaw River,44° 25' N,79° 20' W,44.416667,-79.3333333,Lake Simcoe,,332,km2,ON,,
Great Slave Lake,15801,07AD002,,Athabasca River at Hinton,Headwaters,,,53.42429,-117.5694,up to Athabasca River at Hilton,Athabasca River Basin,9760,km2,AB,,
Great Slave Lake,15802,07AG004,,McLeod River near Whitecourt,Foothills,,,54.01245,-115.8397,up to McLeod River near Whitecourt and the Athabasca River from Hilton to Windfall,Athabasca River Basin,9110,km2,AB,,
Great Slave Lake,15803,07BC002,,Pembina River at Jarvie,Prairie,,,54.45029,-113.9933,Pembina River at Jarvie,Athabasca River Basin,13100,km2,AB,,
Great Slave Lake,15804,07BE001,,Athabasca River at Athabasca,Lesser Slave,,,54.72203,-113.288,Lesser Slave Lake tributaries and the remaining part of the AR up to Athabasca,Athabasca River Basin,74600,km2,AB,,
Great Slave Lake,15805,07DA001,,Athabasca River below Fort McMurray,Boreal,,,56.78035,-111.4022,All downstream sections,Athabasca River Basin,133000,km2,AB,,
Great Slave Lake,15806,07DD011,ATHABASCA RIVER NEAR OLD FORT,,Athabasca River Basin ,,,58.37444,-111.5217,entire,Athabasca River Basin,161000,km2,AB,,
Great Slave Lake,15901,07AD002,,Athabasca River at Hinton,Headwaters,,,53.42429,-117.5694,up to Athabasca River at Hilton,Athabasca River Basin,9760,km2,AB,,
Great Slave Lake,15902,07AG004,,McLeod River near Whitecourt,Foothills,,,54.01245,-115.8397,up to McLeod River near Whitecourt and the Athabasca River from Hilton to Windfall,Athabasca River Basin,9110,km2,AB,,
Great Slave Lake,15903,07BC002,,Pembina River at Jarvie,Prairie,,,54.45029,-113.9933,Pembina River at Jarvie,Athabasca River Basin,13100,km2,AB,,
Great Slave Lake,15904,07BE001,,Athabasca River at Athabasca,Lesser Slave,,,55.32167,-115.6422,Lesser Slave Lake tributaries and the remaining part of the AR up to Athabasca,Athabasca River Basin,74600,km2,AB,,
Great Slave Lake,15905,07DA001,,Athabasca River below Fort McMurray,Boreal,,,56.78035,-111.4022,All downstream sections,Athabasca River Basin,133000,km2,AB,,
Great Slave Lake,4001,07DD011,ATHABASCA RIVER NEAR OLD FORT,,Athabasca River Basin ,,,58.37444,-111.5217,entire,,161000,km2,AB,,
Great Slave Lake,7401,07DD011,ATHABASCA RIVER NEAR OLD FORT,,Athabasca River Basin ,,,58.37444,-111.5217,entire,,161000,km2,AB,,
Pacific,7402,08MF005,,Fraser River at Hope,Fraser River basin,,,49.38596,-121.4542,,,217000,km2,BC,,
Great Slave Lake,7301,07DD011,ATHABASCA RIVER NEAR OLD FORT,Athabasca River below Fort McMurray,Athabasca River Basin ,,,58.37444,-111.5217,entire,,161000,km2,AB,,
Great Slave Lake,8801,07DA001,,Athabasca River Below Fort McMurray,Athabasca River Basin ,56.7083N,111.402W,56.78035,-111.4022,entire,,161000,km2,AB,,Gauge from supp. Material #1
Nelson River,16201,05OF020,MORRIS RIVER NEAR ROSENORT,Morris (Rosenort),Morris catchment,,,49.49008,-97.48167,Red River basin,Lake Winnipeg watershed,4300,km2,MB,,
Nelson River,16202,05MD004,ASSINIBOINE RIVER AT KAMSACK,Assiniboine (Kamsack),Upper Assiniboine catchment,,,51.56489,-101.9166,Assiniboine River basin,Lake Winnipeg watershed,13500,km2,SK,,
Nelson River,11601,05MD004,,Assiniboine River at Kamsack,Upper Assiniboine catchment,,,51.56489,-101.9166,Assiniboine River basin,Lake Winnipeg watershed,13000,km2,SK,,
Nelson River,11401,05MD999,,Shellmouth reservoir inflow (Hydrologic Forecast Centre - MI),Upper Assiniboine catchment,,,50.9325,-101.4839,Assiniboine River basin,Lake Winnipeg watershed,18000,km2,MB/SK,,
Maritimes,8301,01XXXXX,,,Otter Brook catchment,N46 52',W66 02',46.866667,-66.033333,Little Southwest Miramichi River,Gulf of St. Lawrence and Northern Bay of Fundy,,,NB,,
Nelson River,11701,05DA009,,,Cline River watershed,,,52.00119,-115.4709,Upper North Saskatchewan River Basin,North Saskatchewan River Basin,3856,km2,AB,,
St. Lawrence,801,02KF016,,Mississippi River below Marble Lake,Marble Lake,46.36 deg N,75.00 deg W,44.84317,-77.12006,,Mississippi River watershed,359,km2,ON,,
Nelson River,2601,05TG005,,Taylor River near Thompson,Taylor River,"55°29'20""N","98°11'10""W",55.71292,-97.94864,Nelson River,,886,km2,MB,,
Nelson River,2602,05TE002,,Burntwood River above Leaf Rapids,Burntwood River,"55°30'00""N","99°13'20""W",55.49662,-99.22089,Nelson River,,5810,km2,MB,,
Nelson River,2501,05TG005,,Taylor River near Thompson,Taylor River,"55°29'20""N","98°11'10""W",55.71292,-97.94864,Nelson River,,886,km2,MB,,
Nelson River,2502,05TE002,,Burntwood River above Leaf Rapids,Burntwood River,"55°30'00""N","99°13'20""W",55.49662,-99.22089,Nelson River,,5810,km2,MB,,
Nelson River,2401,05QA004,STURGEON RIVER AT MCDOUGALL MILLS,,Sturgeon River,,,50.16728,-91.54075,Winnipeg River basin,,4450,km2,ON,,
Nelson River,2402,05QC003,TROUTLAKE RIVER ABOVE BIG FALLS,,Troutlake River,,,50.90561,-93.09192,Winnipeg River basin,,2370,km2,ON,,
St. Lawrence,5601,02GA036,,,upstream portion of Canagigue Creek west,43?36’ N and 43?42’ N ,80?33’ Wand 80?38’ W,43.67,-80.59667,Grand river basin,Lake Erie,18,km2,ON,,
Pacific,301,08MH051,WILLBAND CREEK AT ABBOTSFORD,,Abbotsford-Sumas aquifer,,,49.04583,-122.2972,,,161,km2,BC/WA,,
Pacific,15201,08MH051,WILLBAND CREEK AT ABBOTSFORD,,Abbotsford-Sumas aquifer,,,49.04583,-122.2972,,,161,km2,BC/WA,,
Pacific,15202,08NN002,GRANBY RIVER AT GRAND FORKS,,Grand Forks aquifer,,,49.04327,-118.4404,Kettle River valley,,34,km2,BC,,
St. Lawrence,3901,02RC010,SERPENT (RIVIERE AU) PRES DE LA RIVIERE PERIBONCA,,Serpent River,,,49.6075,-71.29944,Chute-du-Diable basin,Saguenay-Lac-Saint Jean watershed,1760,km2,QB,,
St. Lawrence,3902,02RC007,PERIBONCA (RIVIERE) A LA CENTRALE DE LA CHUTE DU DIABLE,,Chute-du-Diable reservoir (Peribonka River),,,48.78083,-71.6975,Chute-du-Diable basin,Saguenay-Lac-Saint Jean watershed,9700,km2,QB,,
St. Lawrence,2901,02RC010,SERPENT (RIVIERE AU) PRES DE LA RIVIERE PERIBONCA,,Serpent River,,,49.6075,-71.29944,Chute-du-Diable basin,Saguenay-Lac-Saint Jean watershed,1760,km2,QB,,
St. Lawrence,10701,02RC007,PERIBONCA (RIVIERE) A LA CENTRALE DE LA CHUTE DU DIABLE,,Chute-du-Diable reservoir (Peribonka River),,,48.78083,-71.6975,Chute-du-Diable basin,Saguenay-Lac-Saint Jean watershed,9700,km2,QB,,
Maritimes,12101,01CD003,MORELL RIVER AT BANGOR,,Prince Edward Island,,,46.36111,-62.70056,,,5660,km2,PEI,,
Maritimes,1001,01CD003,MORELL RIVER AT BANGOR,,Prince Edward Island,,,46.36111,-62.70056,,,5660,km2,PEI,,
Nelson River,12301,05NE003,,Pipestone Creek above Moosomin,Pipestone Creek,,,50.15219,-101.837,,,2242,km2,SK,,
St. Lawrence,19901,02GA014,GRAND RIVER NEAR MARSVILLE,Grand River near Marsville,upstream of Grand River near Marsville,,,43.86172,-80.27222,Grand River,Northern Lake Erie basin,6764,km2,ON,,
St. Lawrence,19902,02GB001,GRAND RIVER AT BRANTFORD,Grand River at Brantford (main gauge),upstream of Grand River at Brantford,,,43.13272,-80.26731,Grand River,Northern Lake Erie basin,,,,,
St. Lawrence,19903,02GD016,THAMES RIVER AT INGERSOLL,Thames River at Ingersoll,upstream of Thames river at Ingersoll,,,43.04128,-80.88617,Thames River,Northern Lake Erie basin,5883,km2,ON,,
St. Lawrence,19904,02GE003,THAMES RIVER AT THAMESVILLE,Thames River at Thamesville,upstream of Thames river at Thamesville,,,42.54486,-81.96727,Thames River,Northern Lake Erie basin,,,,,
St. Lawrence,4101,02HB013,CREDIT RIVER NEAR ORANGEVILLE,,"Subwatershed 19 (Includes Orangeville, portions of Mono, and Amaranth)",,,43.89127,-80.0624,Credit Valley Watershed,,60.8,km2,ON,,
St. Lawrence,16901,02OA057,"ANGLAIS (RIVIERE DES) A 1,1 KM EN AVAL DU PONT-ROUTE A TRES-SAINT-SACREMENT",,des Anglais,,,45.175,-73.845,Chateauguay River watershed,,690,km2,QB/US,,
St. Lawrence,4201,02LB005,SOUTH NATION RIVER NEAR PLANTAGENET SPRINGS,,South Nation watershed,,,45.51694,-74.97822,,,3858,km2,ON,,
Pacific,10601,08NM015,,Vaseauc Creek above Dutton Creek,Vaseaux Creek above Dutton Creek (Subwatershed),,,49.26222,-119.4742,Okanagan Basin,Columbia - USA,255,km2,BC  ,,
Pacific,10602,08NM035,,Bellevue Creek,Bellevue Creek,,,49.79389,-119.4608,Okanagan Basin,Columbia - USA,73.3,km2,BC,,
Pacific,10603,08NM134,,Camp Creek,Camp Creek,,,49.71234,-120.0112,Okanagan Basin,Columbia - USA,33.9,km2,BC,,
Pacific,10604,08NM137,,Dave's Creek,Dave's Creek,,,49.86806,-119.2742,Okanagan Basin,Columbia - USA,31.1,km2,BC,,
Pacific,10605,08NM171,,Vaseaux Creek above Solco Creek,Vaseaux Creek above Solco Creek,,,49.24928,-119.3214,Okanagan Basin,Columbia - USA,112,km2,BC,,
Pacific,10606,08NM172,,Pearson Creek,Pearson Creek,,,49.88694,-119.0617,Okanagan Basin,Columbia - USA,73.6,km2,BC,,
Pacific,10607,08NM174,,Whiteman Creek,Whiteman Creek,,,50.21222,-119.5386,Okanagan Basin,Columbia - USA,112,km2,BC,,
Pacific,10608,08NM176,,Ewer Creek,Ewer Creek,,,50.36611,-119.5036,Okanagan Basin,Columbia - USA,52.8,km2,BC,,
Great Slave Lake,14201,07FD001,KISKATINAW RIVER NEAR FARMINGTON,,Kiskatinaw river watershed,,,55.95736,-120.5644,Upper Peace,,213.82,km2,BC,,
Great Slave Lake,15101,07EF001,PEACE RIVER AT HUDSON HOPE,W.A.C. Bennett Dam,Peace River,,,56.027,-121.9087,,,101000,km2,BC,,
Pacific,15102,08ND015,MICA CREEK NEAR REVELSTOKE,Mica Dam,Upper Columbia River,,,52.01139,-118.5675,Columbia - USA,,104000,km2,BC/US,,
Pacific,15103,08HD031,UPPER CAMPBELL LAKE AT STRATHCONA DAM,Strathcona Dam,Campbell River,,,49.99694,-125.5866,,,1190,km2,BC,,
Great Slave Lake,16401,07FD002,,Peace River at Taylor,Peace River,,,56.13939,-120.6724,,,101000,km2,BC,,
Great Slave Lake,16501,07FD002,PEACE RIVER NEAR TAYLOR,,Peace River,,,56.13939,-120.6724,,,101000,km2,BC,,
Pacific,16502,08NB011,COLUMBIA RIVER AT BIG BEND HIGHWAY CROSSING,,Upper Columbia River,,,52.11472,-118.4244,Columbia - USA,,104000,km2,BC/US,,
Nelson River,17501,05AG006,,Oldman River near the Mouth,Oldman River Basin,,,49.91889,-111.8,South Saskatchewan River Basin,,27508,km2,AB,,
Nelson River,17502,05BN012,,Bow River near the Mouth,Bow River Basin,,,50.04728,-111.5909,South Saskatchewan River Basin,,25123,km2,AB,,
Nelson River,17503,05CK004,,Red Deer River near Bindloss,Red Deer River Basin,,,50.90278,-110.2995,South Saskatchewan River Basin,,44682.7,km2,AB/SK,,
St. Lawrence,101,02HB007,,Spencer Creek at Dundas,Spencer Creek watershed,43°150N,78°450W,43.26542,-79.96428,Western Lake Ontario,,291,km2,ON,,
St. Lawrence,17201,02HB007,SPENCER CREEK AT DUNDAS,,Spencer Creek watershed,43°150N,78°450W,43.25,-78.75,Western Lake Ontario,,291,km2,ON,,
St. Lawrence,17202,02HB015,SPENCER CREEK NEAR WESTOVER,,Westover station,43°21'N,"80°4'48""W",43.35308,-80.07789,Spencer Creek watershed (station 02HB015),,63.5,km2,ON,,
St. Lawrence,17203,02HB023,SPENCER CREEK AT HIGHWAY NO. 5,,Highway5 station,"43°16'48""N",80°3W,43.28292,-80.05281,Spencer Creek watershed (station 02HB023),,132,km2,ON,,
St. Lawrence,17204,02HB007,SPENCER CREEK AT DUNDAS,,Dundas station,"43°15'36""N","79°57'36""W",43.265,-79.96472,Spencer Creek watershed (station 02HB010),,166,km2,ON,,
St. Lawrence,17205,02HB021,ANCASTER CREEK AT ANCASTER,,Ancaster station,"43°13'48""N","79°58'12""W",43.23117,-79.97386,Spencer Creek watershed (station 02HB021),,9.14,km2,ON,,
St. Lawrence,17206,02HB007,SPENCER CREEK AT DUNDAS,,Christie station,,,43.26542,-79.96428,Spencer Creek watershed,,,,ON,,
St. Lawrence,17207,02HB007,SPENCER CREEK AT DUNDAS,,Valens station,,,43.26542,-79.96428,Spencer Creek watershed,,,,ON,,
St. Lawrence,17101,02HB015,,Spencer Creek near Westover,Westover station,43°21'N,"80°4'48""W",43.35308,-80.07789,Spencer Creek watershed (station 02HB015),,63.5,km2,ON,,
St. Lawrence,17102,02HB023,,Spencer Creek at HWY5,Highway5 station,"43°16'48""N",80°3W,43.28292,-80.05281,Spencer Creek watershed (station 02HB023),,132,km2,ON,,
St. Lawrence,17103,02HB010,,Spencer Creek at Dundas Crossing,Dundas station,"43°15'36""N","79°57'36""W",43.265,-79.96472,Spencer Creek watershed (station 02HB010),,166,km2,ON,,
St. Lawrence,17104,02HB021,,Ancaster Creek at Ancaster,Ancaster station,"43°13'48""N","79°58'12""W",43.23117,-79.97386,Spencer Creek watershed (station 02HB021),,9.14,km2,ON,,
St. Lawrence,17105,02HB007,SPENCER CREEK AT DUNDAS,,Christie station,,,43.26542,-79.96428,Spencer Creek watershed,,,,ON,,
St. Lawrence,17106,02HB007,SPENCER CREEK AT DUNDAS,,Valens station,,,43.26542,-79.96428,Spencer Creek watershed,,,,ON,,
Pacific,11001,08MF005,FRASER RIVER AT HOPE,Fraser River at Hope,Fraser River basin,,,49.38596,-121.4542,,,217000,km2,BC,,
Maritimes,13801,01DC005,,,Catchment for gauging station (EC 01DC005),,,44.94919,-65.02939,Annapolis Valley watershed,,546,km2,NS,,
Yukon River,13401,09XXXXX,,,Wolf Creek Research basin (whole basin),60°36'N,134°57'W,60.6,-134.95,,,179,km2,YK,,
Nelson River,13402,05BF016,,,Marmot Creek Research basin (whole basin),50°57'N,115°09'W,50.95054,-115.1529,Bow River,,9.4,km2,AB,,
Yukon River,13301,09XXXXX,,,Alpine - Wolf Creek,,,60.34306,-132.5447,,,,,YK,,
Yukon River,13302,09XXXXX,,,Shrub tundra - Wolf Creek,,,60.34306,-132.5447,,,,,YK,,
Yukon River,13303,09XXXXX,,,Forest - Wolf Creek,,,60.34306,-132.5447,,,,,YK,,
Nelson River,13304,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Alpine - Marmot Creek,,,50.94722,-115.1417,Bow River,,,,AB,,
Nelson River,13305,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Treeline - Marmot Creek,,,50.94722,-115.1417,Bow River,,,,AB,,
Nelson River,13306,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Forest - Marmot Creek,,,50.94722,-115.1417,Bow River,,,,AB,,
Nelson River,13307,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Forest clearing - Marmot Creek,,,50.94722,-115.1417,Bow River,,,,AB,,
Yukon River,13308,09XXXXX,,,Wolf Creek Research basin (whole basin),60°36'N,134°57'W,60.6,-134.95,,,179,km2,YK,,
Nelson River,13309,05BF016,MARMOT CREEK MAIN STEM NEAR SEEBE,,Marmot Creek Research basin (whole basin),50°57'N,115°09'W,50.95054,-115.1529,Bow River,,9.4,km2,AB,,
Maritimes,13701,01DG007,SHUBENACADIE RIVER AT LAKE THOMAS,Thomas Brook,Thomas Brook catchment,,,44.81806,-63.61361,Cornwallis watershed,Annapolis Valley,8,km2,NS,,
Maritimes,5301,01DG007,SHUBENACADIE RIVER AT LAKE THOMAS,,Thomas Brook catchment,,,44.81806,-63.61361,Cornwallis watershed,Annapolis Valley,784,ha,NS,,
St. Lawrence,201,02LG007,GATINEAU (RIVIERE) AU RESERVOIR BASKATONG,Mercier dam,Baskatong reservoir,,,46.71778,-75.98417,,,13040,km2,QB,,
Nelson River,601,05AA022,,Beaver Mines,Castle River subwatershed,"49°9'15.8"" to
49°34'11.7""N","-114°7'40.7"" to
-114°36'18.0""W",49.48866,-114.1444,Oldman River basin,,825,km2,AB,,
St. Lawrence,3301,02XXXXX,,,Black River subwatershed,44°25'N,79°20'W,44.416667,-79.3333333,Lake Simcoe,,322,km2,ON,,
Great Slave Lake,7601,07DA001,ATHABASCA RIVER BELOW FORT MCMURRAY,,Athabasca River Basin below Fort McMurray,,,56.78035,-111.4022,,,133606,km2,AB,,
Nelson River,8001,05AB013,BEAVER CREEK NEAR BROCKET,,Beaver Creek watershed,,,49.63938,-113.7953,North Saskatchewan River Basin,,254,km2,AB,,
Nelson River,8101,05QC004,,Sturgeon River at McDougall Mill,Sturgeon River,,,50.82978,-93.46389,Winnipeg River basin,,4450,km2,ON,,
Nelson River,8102,05QC003,,Troutlake River above Big Fall,Troutlake River,,,50.90561,-93.09192,Winnipeg River basin,,2370,km2,ON,,
St. Lawrence,17401,02OD003,,,Nicolet River watershed ,36°04' to 36°21'N,50°38' to 51°12'E,46.05639,-72.30639,Saint Lawrence River,,3380,km2,QB,,
Arctic,17701,10XXXXX,,Liard River Basin at Fort Simpson,Liard River,"61°44'49""N","121°13'25""W",61.746944,-121.223611,Mackenzie River basin,,275000,km2,AB/BC/NWT/YK,,
Nelson River,2801,05KJ001,SASKATCHEWAN RIVER AT THE PAS,The Pas,Saskatchewan River sub-basin,,,53.83806,-101.2087,"Saskatchewan-Nelson basin (incl. North and South Saskatchewan, Red Deer and Bow Rivers and the Oldman River south of the Bow River)",,347000,km2,"SK, MB, AB, US",,
St. Lawrence,3501,02GE002,THAMES RIVER AT BYRON,Byron,Upper Thames River Basin,,,42.9625,-81.33178,Between lake Huron and Erie,,3842,km2,ON,,
St. Lawrence,501,02LB005,,Plantagenet,South Nation watershed,,,45.51694,-72.97822,Eastern ON,,4000,km2,ON,,
Pacific,701,08HB053,HOGGAN LAKE ON GABRIOLA ISLAND,,"Gulf Islands (Mayne, Gabriola, Pender, Galiano, Saturna, Saltspring and smaller islands)",,,49.15333,-123.8261,,,359.1,km2,BC,,
St. Lawrence,5701,02OH006,MISSISQUOI-NORD (RIVIERE) A LA SORTIE DU LAC D'ARGENT,,Pike River watershed,,,45.30222,-72.32056,Missisquoi Bay (northern portion of Lake Champlain),,630,km2,QB/Vermont,,
St. Lawrence,5801,02OH006,MISSISQUOI-NORD (RIVIERE) A LA SORTIE DU LAC D'ARGENT,,Pike River watershed,,,45.30222,-72.32056,Missisquoi Bay (northern portion of Lake Champlain),,630,km2,QB/Vermont,,
